b,hamming_abs,hamming_norm
0.0,137188,0.274376
0.02,144709,0.289418
0.04,144027,0.288054
0.06,142698,0.285396
0.08,140997,0.281994
0.1,138878,0.277756
0.12,137218,0.274436
0.14,136079,0.272158
0.16,132948,0.265896
0.18,128926,0.257852
0.2,120032,0.240064
0.22,143023,0.286046
0.24,168679,0.337358
0.26,182837,0.365674
0.28,190913,0.381826
0.3,196554,0.393108
0.32,200922,0.401844
0.34,204562,0.409124
0.36,207734,0.415468
0.38,210402,0.420804
0.4,213009,0.426018
0.42,215187,0.430374
0.44,217186,0.434372
0.46,218088,0.436176
0.48,219687,0.439374
0.5,220379,0.440758
0.52,221122,0.442244
0.54,222590,0.44518
0.56,223829,0.447658
0.58,224632,0.449264
0.6,225592,0.451184
0.62,227314,0.454628
0.64,228187,0.456374
0.66,228613,0.457226
0.68,230635,0.46127
0.7000000000000001,230958,0.461916
0.72,231485,0.46297
0.74,232544,0.465088
0.76,233450,0.4669
0.78,233786,0.467572
0.8,234152,0.468304
0.8200000000000001,234906,0.469812
0.84,235581,0.471162
0.86,235446,0.470892
0.88,235172,0.470344
0.9,236244,0.472488
0.92,236265,0.47253
0.9400000000000001,236601,0.473202
0.96,237014,0.474028
0.98,237469,0.474938
1.0,237505,0.47501
