c,hamming_abs,hamming_norm
5.0,218620,0.43724
5.02,217794,0.435588
5.039999999999999,217529,0.435058
5.059999999999999,216281,0.432562
5.079999999999998,215888,0.431776
5.099999999999998,214803,0.429606
5.119999999999997,214322,0.428644
5.139999999999997,213522,0.427044
5.159999999999997,212949,0.425898
5.179999999999996,212580,0.42516
5.199999999999996,211617,0.423234
5.219999999999995,210844,0.421688
5.239999999999995,210330,0.42066
5.2599999999999945,208867,0.417734
5.279999999999994,207497,0.414994
5.299999999999994,206542,0.413084
5.319999999999993,206033,0.412066
5.339999999999993,204374,0.408748
5.359999999999992,203173,0.406346
5.379999999999992,201946,0.403892
5.3999999999999915,200365,0.40073
5.419999999999991,198572,0.397144
5.439999999999991,197725,0.39545
5.45999999999999,195569,0.391138
5.47999999999999,193834,0.387668
5.499999999999989,190675,0.38135
5.519999999999989,187943,0.375886
5.5399999999999885,184291,0.368582
5.559999999999988,180166,0.360332
5.579999999999988,175985,0.35197
5.599999999999987,170023,0.340046
5.619999999999987,163084,0.326168
5.639999999999986,154068,0.308136
5.659999999999986,141004,0.282008
5.6799999999999855,123079,0.246158
5.699999999999985,120032,0.240064
5.719999999999985,123321,0.246642
5.739999999999984,125359,0.250718
5.759999999999984,126737,0.253474
5.779999999999983,128147,0.256294
5.799999999999983,128596,0.257192
5.8199999999999825,129566,0.259132
5.839999999999982,130067,0.260134
5.859999999999982,130665,0.26133
5.879999999999981,130941,0.261882
5.899999999999981,130952,0.261904
5.91999999999998,131264,0.262528
5.93999999999998,131634,0.263268
5.9599999999999795,131615,0.26323
5.979999999999979,131524,0.263048
5.999999999999979,131644,0.263288
