timestamp,tiempo_difusion_segundos,tiempo_rossler_segundos,tiempo_confusion_segundos,tiempo_programa_segundos
12-12 00:44:34,0.15516570000181673,0.2984835000024759,0.2994780000008177,0.46178990000043996
12-12 00:48:11,0.15074710000044433,0.2689436000000569,0.2701433000038378,0.4287564000042039
12-12 00:49:00,0.15015370000037365,0.2970237999979872,0.29822060000151396,0.45603319999645464
12-12 01:19:41,0.15624550000211457,0.2909889000002295,0.29243010000209324,0.5839321999956155,0.12751249999564607
12-12 01:20:07,0.1660249999986263,0.2803459999995539,0.28200680000009015,0.5772264999977779,0.12047789999633096
12-12 01:21:29,0.15021350000461098,0.2633385000008275,0.2643614000044181,0.5368200999946566,0.1154272999992827
12-12 01:22:33,0.1527198000039789,0.26914039999974193,0.2704287000015029,0.5469816999975592,0.11647110000194516
12-12 01:29:13,0.14879469999868888,0.2681540999983554,0.26927710000018124,0.5437997000044561,0.11851190000015777
12-12 01:31:30,0.15283730000373907,0.270275999995647,0.27098149999801535,0.551784499999485,0.11945610000111628
12-12 01:31:54,0.15302689999953145,0.2832018999979482,0.28393810000125086,0.5608303000044543,0.1168623999983538
12-12 01:32:32,0.18422319999808678,0.26817330000631046,0.2689024999999674,0.5771431999964989,0.11604239999724086
12-12 01:33:32,0.1556330999956117,0.2687816000034218,0.2695845000052941,0.5507952000043588,0.11749429999326821
12-12 01:38:57,0.15020360000198707,0.2723637000017334,0.27303309999842895,0.5468617000005906,0.11630259999947157
12-12 01:39:45,0.1503152000004775,0.176429699997243,0.17717180000181543,0.4499606000026688,0.1154473999995389
12-12 01:43:51,0.1445248999953037,3.376650999998674,3.3772918000031495,3.639100899999903,0.11035030000493862
12-12 01:47:20,0.15460739999980433,2.268123200003174,2.2689245000001392,2.543976600005408,0.11247349999757716
12-12 01:56:39,0.1462692999994033,2.2788643000021693,2.2796191000015824,2.546433099996648,0.11332160000165459
12-12 01:59:29,0.1472381999992649,1.8196778999990784,1.8204063000011956,2.0933729999960633,0.11473580000165384
12-12 02:02:58,0.15150889998767525,1.850463700000546,1.8512547999998787,2.123206099990057,0.1127418999967631
12-12 02:03:20,0.14534000000276137,1.855222700003651,1.8560529999958817,2.123200000001816,0.11455080000450835
12-12 02:03:48,0.15312650000851136,1.8453613000019686,1.846205000008922,2.119831299991347,0.11343759999726899
12-12 02:05:42,0.144636700002593,1.848303799997666,1.8491285000054631,2.1165706000028877,0.11566229999880306
12-12 02:06:06,0.1576587000017753,1.8645121000008658,1.8652680000086548,2.148363500004052,0.1182010999909835
12-12 02:08:30,0.14616069999465253,1.8455761999939568,1.846372700005304,2.1137938000028953,0.11434929999813903
12-12 02:09:57,0.1512908000004245,1.8588569999992615,1.8597084000066388,2.13481609999144,0.11648260000220034
12-12 02:13:20,0.14472170000954065,1.30058700000518,1.3012933999998495,1.567711399999098,0.11476450000191107
12-12 02:21:56,0.14673100000072736,1.1291896999900928,1.1299315999931423,1.3991127000044798,0.11471300000266638
12-12 02:24:15,0.14818150000064634,1.1542148000007728,1.154956400001538,1.4394347999914316,0.12900509999599308
12-12 02:24:49,0.17054079999797978,1.1189154999883613,1.1196551000030013,1.4118674000055762,0.11239549999299925
12-12 02:25:14,0.1485776000045007,1.1653865999978734,1.166186900009052,1.4487014999904204,0.1264519999967888
12-12 02:26:23,0.15350850000686478,1.132393799998681,1.1332205999933649,1.4085378000017954,0.11439180000161286
12-12 02:39:18,0.1486966999946162,1.1057594000012614,1.1064638999960152,1.3931874000118114,0.13100949999352451
12-12 02:40:59,0.14680159999988973,2.125862799992319,2.1267425999976695,2.407668600004399,0.127247600001283
12-12 02:47:52,0.14703510000254028,2.094877000010456,2.095768399987719,2.3678016000048956,0.11708909999288153
12-12 12:49:57,0.5068856549999055,9.055713108000191,9.059847698000112,10.045775948000028,0.42659733499999675
12-12 12:55:41,0.8482704659998035,22.212493540000196,22.2171341090002,23.563890352000044,0.4398612130000856
12-12 12:57:35,0.49405713700002707,9.25767593899991,9.26191884800005,10.16906601100004,0.3979113440000219
12-12 12:59:46,0.5170180410000285,9.806206354999858,9.810411147999957,10.76191561099995,0.4191627990001052
12-12 13:06:30,0.4956652319999648,9.699386653999909,9.703518888999952,10.627013729000055,0.41257109000002856
12-12 15:24:56,0.49259682199954113,9.083331903000726,9.087993457000266,10.028240492001714,0.4325085599994054
12-12 15:25:59,0.49240654700042796,9.111550835999878,9.115764598000169,10.033266448001086,0.4085176600001432
