b_barrido,b_utilizado,b_es_original_mqtt,hamming_abs,hamming_norm
0.02,0.02,0,159473,0.318946
0.04,0.04,0,165652,0.331304
0.06,0.06,0,168099,0.336198
0.08,0.08,0,169112,0.338224
0.1,0.1,0,170154,0.340308
0.12,0.12,0,170782,0.341564
0.14,0.14,0,170712,0.341424
0.16,0.16,0,170332,0.340664
0.18,0.18,0,167986,0.335972
0.2,0.2,1,0,0.0
0.22,0.22,0,284474,0.568948
0.24,0.24,0,314340,0.62868
0.26,0.26,0,320273,0.640546
0.28,0.28,0,321770,0.64354
0.3,0.3,0,322433,0.644866
0.32,0.32,0,323051,0.646102
0.34,0.34,0,323432,0.646864
0.36,0.36,0,323847,0.647694
0.38,0.38,0,323992,0.647984
0.4,0.4,0,324209,0.648418
0.42,0.42,0,324201,0.648402
0.44,0.44,0,324419,0.648838
0.46,0.46,0,324583,0.649166
0.48,0.48,0,324650,0.6493
0.5,0.5,0,324745,0.64949
0.52,0.52,0,324895,0.64979
0.54,0.54,0,324989,0.649978
0.56,0.56,0,324982,0.649964
0.58,0.58,0,324954,0.649908
0.6,0.6,0,324946,0.649892
0.62,0.62,0,324987,0.649974
0.64,0.64,0,325044,0.650088
0.66,0.66,0,325129,0.650258
0.68,0.68,0,325154,0.650308
0.7,0.7,0,325241,0.650482
0.72,0.72,0,325301,0.650602
0.74,0.74,0,325273,0.650546
0.76,0.76,0,325389,0.650778
0.78,0.78,0,325428,0.650856
0.8,0.8,0,325489,0.650978
0.82,0.82,0,325505,0.65101
0.84,0.84,0,325640,0.65128
0.86,0.86,0,325687,0.651374
0.88,0.88,0,325780,0.65156
0.9,0.9,0,325839,0.651678
0.92,0.92,0,325953,0.651906
0.94,0.94,0,326002,0.652004
0.96,0.96,0,326006,0.652012
0.98,0.98,0,326129,0.652258
1.0,1.0,0,326156,0.652312
